"selection1_name","selection1_selection2","selection1_selection3","selection1_selection4","selection1_selection5","selection1_selection6","selection1_selection7"
"01","1002.4","32.5","30.3","27.8","24.2","71"
"02","998.9","34.6","30.8","28.8","26.9","80"
"03","997.5","34.9","29.9","27.6","26.0","80"
"04","995.8","29.8","28.0","26.9","26.2","90"
"05","997.2","29.4","27.6","26.4","25.8","90"
"06","998.1","30.9","29.0","27.5","26.2","85"
"07","996.2","32.6","29.6","27.4","25.3","78"
"08","993.1","34.2","30.4","28.2","25.9","78"
"09","994.1","32.4","30.3","29.1","25.6","76"
"10","998.8","32.4","29.2","27.4","26.7","87"
"11","1003.5","29.6","28.1","26.2","26.4","91"
"12","1005.7","27.9","27.3","26.0","25.1","88"
"13","1007.4","27.6","26.4","24.8","24.7","91"
"14","1009.7","30.8","27.8","25.7","25.5","88"
"15","1010.2","31.8","29.3","27.5","25.5","80"
"16","1010.6","33.1","29.9","28.2","25.4","77"
"17","1011.1","30.9","29.1","27.9","25.5","81"
"18","1010.9","32.0","28.7","27.9","25.9","85"
"19","1010.9","32.1","29.4","27.8","26.0","82"
"20","1008.8","33.1","29.8","28.0","24.6","74"
"21","1007.1","32.9","30.1","28.0","23.8","70"
"22","1007.2","32.4","30.0","28.2","24.6","73"
"23","1007.8","34.2","30.4","28.6","25.3","75"
"24","1008.6","33.2","30.1","28.5","24.6","72"
"25","1009.0","33.3","29.9","28.3","25.6","78"
"26","1008.6","33.3","30.0","28.4","25.9","79"
"27","1008.4","33.4","30.0","28.6","25.8","78"
"28","1007.8","33.5","30.4","28.0","24.8","73"
"29","1007.6","33.1","30.3","29.2","26.1","78"
"30","1008.6","33.8","30.4","28.2","25.7","77"
"31","1009.0","33.9","29.9","27.2","24.7","74"
"Mean/Total","1004.9","32.2","29.4","27.7","25.5","80"
