"selection1_name","selection1_selection2","selection1_selection3","selection1_selection4","selection1_selection5","selection1_selection6","selection1_selection7"
"01","1005.5","33.7","29.5","26.8","24.5","76"
"02","1006.7","32.9","29.5","27.3","24.1","73"
"03","1005.8","32.6","29.5","27.2","24.1","73"
"04","1002.9","34.2","29.9","27.3","25.0","75"
"05","1001.1","33.5","30.1","27.8","24.9","74"
"06","1000.2","33.2","30.2","28.0","24.9","74"
"07","1002.1","35.0","30.9","28.6","25.7","75"
"08","1004.3","31.1","29.2","25.6","25.2","79"
"09","1004.5","31.5","28.0","26.0","25.4","86"
"10","1005.8","28.3","26.8","25.2","25.3","92"
"11","1007.9","32.2","28.7","26.0","25.4","83"
"12","1008.0","32.0","29.4","27.6","25.2","78"
"13","1008.8","32.9","29.6","27.9","24.5","75"
"14","1010.6","32.8","29.6","28.0","24.3","74"
"15","1011.0","31.9","29.7","27.9","25.0","76"
"16","1009.9","32.3","29.3","28.1","24.9","78"
"17","1009.4","30.5","28.7","27.2","25.1","81"
"18","1010.0","32.5","29.2","27.1","25.2","80"
"19","1010.9","33.0","29.6","27.8","25.5","79"
"20","1011.0","33.0","29.2","25.6","25.2","80"
"21","1009.8","32.5","29.5","28.1","25.5","80"
"22","1008.1","30.4","29.0","28.1","25.8","83"
"23","1006.6","32.4","29.8","28.2","25.0","76"
"24","1006.1","32.4","29.8","27.1","25.1","76"
"25","1005.7","30.9","28.6","26.4","24.9","81"
"26","1006.1","31.8","29.1","27.0","24.3","76"
"27","1004.6","32.9","29.2","27.5","24.2","75"
"28","1003.0","32.0","30.2","28.0","23.7","69"
"29","1002.3","33.7","30.6","27.7","23.7","67"
"30","1001.0","33.3","30.9","28.8","24.4","69"
"31","999.3","33.4","30.6","28.7","23.0","64"
"Mean/Total","1006.1","32.4","29.5","27.4","24.8","77"
"Normal§^","1005.2","31.1","28.6","26.6","25.0","81"
