"selection1_name","selection1_selection2","selection1_selection3","selection1_selection4","selection1_selection5","selection1_selection6","selection1_selection7"
"01","1005.4","27.8","26.4","24.3","24.4","89"
"02","1005.4","27.7","26.4","24.7","24.6","90"
"03","1005.0","28.2","25.9","24.3","24.4","92"
"04","1006.0","26.4","25.6","24.5","24.7","95"
"05","1007.4","27.9","25.6","24.6","24.1","91"
"06","1008.2","29.9","26.5","24.1","24.1","87"
"07","1009.0","30.5","28.0","25.9","24.7","82"
"08","1009.6","31.4","28.7","26.7","24.2","77"
"09","1008.1","32.1","29.2","26.8","24.7","77"
"10","1005.0","32.8","29.8","27.6","25.2","77"
"11","1003.1","33.3","30.1","28.4","25.8","78"
"12","1005.1","32.7","30.0","28.4","25.5","77"
"13","1005.7","32.4","30.1","28.6","25.3","76"
"14","1005.2","33.2","29.9","28.6","25.6","78"
"15","1005.1","31.1","29.5","28.0","25.7","80"
"16","1005.2","31.3","29.2","26.2","25.3","80"
"17","1007.3","32.1","29.6","28.1","24.9","76"
"18","1008.6","32.1","29.3","28.0","25.5","80"
"19","1006.5","32.7","29.7","27.3","25.4","78"
"20","1004.9","32.7","30.0","28.2","25.5","77"
"21","1004.6","31.9","29.8","27.5","25.4","78"
"22","1003.9","32.3","30.0","28.2","24.4","72"
"23","999.4","31.4","29.1","26.2","24.6","77"
"24","1001.4","29.3","28.0","24.9","25.2","85"
"25","1004.2","29.9","28.6","25.8","25.1","82"
"26","1004.0","28.7","26.7","25.7","25.2","92"
"27","1002.3","28.4","26.4","24.3","25.2","93"
"28","1001.3","30.0","27.7","26.3","24.2","81"
"29","999.0","33.0","29.9","26.8","23.2","68"
"30","997.4","32.3","29.7","28.1","24.1","73"
"31","996.7","30.8","28.5","26.9","25.1","82"
"Mean/Total","1004.5","30.8","28.5","26.6","24.9","81"
"Normal§","1005.1","31.3","28.4","26.3","24.8","86"
