"selection1_name","selection1_selection2","selection1_selection3","selection1_selection4","selection1_selection5","selection1_selection6","selection1_selection7"
"01","1007.2","31.9","28.9","26.6","24.0","76"
"02","1005.8","32.0","29.3","27.3","24.7","76"
"03","1004.4","31.9","29.7","28.0","24.4","74"
"04","1003.0","31.8","29.1","25.6","24.9","78"
"05","1004.0","29.1","27.3","25.3","25.1","88"
"06","1006.8","27.4","26.3","24.7","24.9","92"
"07","1007.2","30.6","28.5","26.7","24.5","79"
"08","1006.1","31.7","29.3","27.2","24.2","74"
"09","1005.5","32.9","30.1","28.0","25.3","76"
"10","1003.4","33.9","31.1","28.9","25.2","72"
"11","1002.3","31.1","28.2","25.2","24.5","81"
"12","1001.3","29.9","27.7","25.9","23.9","80"
"13","1001.1","32.0","29.1","27.0","24.4","76"
"14","1002.7","32.1","28.9","25.9","25.0","80"
"15","1004.5","30.3","28.9","27.8","25.4","81"
"16","1005.1","31.9","29.2","27.1","24.2","75"
"17","1004.2","33.4","30.4","27.5","25.0","73"
"18","1004.0","32.7","30.6","29.3","26.1","77"
"19","1005.1","32.4","29.9","28.8","26.0","80"
"20","1006.4","30.1","27.7","25.7","25.0","85"
"21","1007.3","27.3","26.1","25.3","25.1","95"
"22","1007.5","27.4","26.4","25.5","25.2","93"
"23","1005.4","31.4","28.1","26.2","25.1","84"
"24","1003.1","31.4","28.5","26.9","25.6","84"
"25","998.8","32.7","30.1","27.5","24.3","72"
"26","994.9","29.6","27.5","25.3","23.3","78"
"27","994.7","27.1","25.8","24.9","24.4","93"
"28","998.1","29.0","26.5","25.3","25.1","92"
"29","1000.1","28.6","26.8","25.2","24.2","91"
"30","1003.2","29.6","27.7","25.6","25.2","87"
"31","1005.4","29.9","27.7","26.0","25.6","88"
"Mean/Total","1003.5","30.7","28.4","26.5","24.8","82"
