"selection1_name","selection1_selection2","selection1_selection3","selection1_selection4","selection1_selection5","selection1_selection6","selection1_selection7"
"01","1004.6","32.6","29.7","27.8","24.9","76"
"02","1004.4","32.8","30.1","28.4","25.1","75"
"03","1004.3","33.7","30.4","28.3","24.8","73"
"04","1002.9","32.6","29.4","25.4","25.5","79"
"05","1000.9","30.7","28.0","25.0","24.4","81"
"06","1001.0","29.0","27.9","26.6","24.6","82"
"07","1003.6","32.7","29.5","27.6","25.2","78"
"08","1003.4","32.1","29.8","27.5","25.5","78"
"09","1002.2","33.0","30.0","27.7","25.5","77"
"10","1002.5","33.0","30.5","28.5","25.8","77"
"11","1003.8","31.7","29.8","27.9","26.3","82"
"12","1005.1","29.3","28.0","26.4","25.9","88"
"13","1006.9","31.3","29.3","27.4","25.7","81"
"14","1006.2","31.7","28.8","26.6","25.7","84"
"15","1004.8","32.1","29.7","28.3","26.1","81"
"16","1005.5","29.5","28.2","26.5","25.8","87"
"17","1006.9","30.2","27.8","25.6","25.8","89"
"18","1005.6","31.8","29.2","27.4","24.8","77"
"19","1002.8","32.1","29.4","26.0","25.5","80"
"20","1000.9","32.4","28.5","26.7","23.8","76"
"21","1003.8","28.1","26.7","25.3","24.8","90"
"22","1008.4","29.8","26.9","24.7","25.2","91"
"23","1006.9","31.3","28.9","26.5","25.1","80"
"24","1003.7","29.3","26.9","24.8","24.4","87"
"25","1006.4","28.3","27.0","25.6","24.9","89"
"26","1010.0","30.5","28.5","27.4","24.9","81"
"27","1010.1","31.1","28.7","27.0","24.8","80"
"28","1009.6","31.3","28.7","27.0","24.3","77"
"29","1010.4","31.2","29.0","27.2","23.8","74"
"30","1009.2","31.4","29.2","27.4","24.3","76"
"31","1007.4","32.1","29.6","27.8","24.6","75"
"Mean/Total","1005.3","31.2","28.8","26.8","25.1","81"
"Normal§","1005.1","31.3","28.4","26.3","24.8","86"
