"day_day","day_pressure","day_max","day_mean","day_min","day_meandew","day_meanhum","day_meancloud","day_rainfall"
"01","1007.9","31.2","29.3","28.4","26.2","83","82","10.6"
"02","1009.3","32.5","29.6","26.5","25.8","81","81","5.4"
"03","1010.2","33.2","29.9","28.0","25.1","76","68","Trace"
"04","1008.9","32.8","29.8","27.9","25.2","76","59","0.0"
"05","1007.3","31.4","29.2","27.8","25.2","79","77","0.0"
"06","1007.7","32.4","29.5","27.2","25.3","78","78","0.8"
"07","1009.0","32.1","29.8","28.1","25.4","78","65","Trace"
"08","1008.1","32.2","29.8","27.8","25.4","77","73","1.6"
"09","1007.2","31.5","29.9","28.4","25.5","77","72","Trace"
"10","1007.3","32.0","29.9","27.3","26.1","80","83","8.1"
"11","1008.2","32.7","30.3","27.9","26.1","78","79","0.8"
"12","1008.5","31.7","28.8","25.6","26.0","85","79","96.8"
"13","1007.9","32.3","29.9","28.5","25.5","78","76","0.4"
"14","1008.3","33.0","29.9","27.3","25.6","78","77","1.5"
"15","1009.4","34.0","30.2","26.7","25.6","77","48","5.2"
"16","1008.2","33.4","30.1","28.1","25.3","76","39","0.0"
"17","1006.0","33.0","30.2","28.5","25.4","76","40","0.0"
"18","1005.3","34.2","30.7","28.5","25.2","73","52","0.0"
"19","1006.1","34.2","30.8","28.6","25.2","73","40","Trace"
"20","1006.5","34.1","30.9","29.2","26.1","76","56","0.0"
"21","1005.1","31.9","28.5","26.3","26.7","90","80","51.0"
"22","1003.2","30.0","27.9","26.7","26.6","93","87","18.1"
"23","1003.9","29.1","27.3","26.0","26.1","93","88","51.3"
"24","1005.3","30.7","28.3","26.1","26.2","89","86","9.7"
"25","1005.8","29.7","28.3","26.9","26.3","89","88","28.5"
"26","1006.1","32.3","29.5","27.1","26.0","82","68","10.4"
"27","1008.3","32.5","30.4","29.1","26.1","78","53","0.0"
"28","1009.5","33.6","30.4","27.4","25.7","76","64","1.9"
"29","1007.9","33.3","30.5","28.9","25.5","75","54","Trace"
"30","1006.0","32.5","30.4","29.1","25.8","76","66","Trace"
"Mean/Total","1007.3","32.3","29.7","27.7","25.7","80","69","302.1"
"Normal§","1006.1","30.2","27.9","26.2","24.6","82","77","456.1"
