"selection1_name","selection1_selection2","selection1_selection3","selection1_selection4","selection1_selection5","selection1_selection6","selection1_selection7"
"01","1003.8","30.7","28.3","25.4","25.3","84"
"02","1004.5","27.9","26.5","24.5","25.3","93"
"03","1009.9","31.5","28.2","25.6","25.9","88"
"04","1011.7","32.9","29.2","27.1","25.0","79"
"05","1009.4","32.9","29.4","27.0","23.8","73"
"06","1009.0","33.1","29.5","27.4","25.3","78"
"07","1010.3","31.7","29.2","27.7","25.7","82"
"08","1010.8","32.7","29.4","26.7","24.9","78"
"09","1008.9","32.5","29.6","27.3","24.8","76"
"10","1008.4","33.2","30.0","28.2","26.0","80"
"11","1008.8","33.1","29.8","27.7","25.3","77"
"12","1006.5","34.9","30.6","27.7","24.5","71"
"13","1002.2","29.9","27.5","25.4","24.8","86"
"14","999.3","27.6","26.6","25.2","25.2","92"
"15","1002.9","28.9","28.2","26.5","25.1","83"
"16","1000.7","28.7","28.0","26.8","25.6","87"
"17","999.6","29.6","28.2","26.3","25.7","86"
"18","1001.4","30.2","28.4","26.9","25.9","86"
"19","1001.6","29.8","27.5","26.3","26.1","92"
"20","1000.7","31.6","28.9","26.8","25.5","82"
"21","998.4","31.0","29.2","27.4","25.5","81"
"22","996.2","31.0","29.2","26.4","25.8","82"
"23","999.4","29.5","28.6","26.6","25.7","84"
"24","1003.8","29.8","28.0","25.7","25.6","87"
"25","1007.1","30.2","27.7","26.1","26.1","91"
"26","1006.8","32.8","28.8","26.6","25.4","82"
"27","1006.2","32.9","29.3","27.0","25.2","79"
"28","1005.2","33.3","29.7","27.3","24.6","75"
"29","1004.1","32.0","29.6","27.8","25.1","77"
"30","1005.9","29.7","27.3","24.4","24.9","87"
"31","1008.4","29.5","26.4","24.6","24.6","90"
"Mean/Total","1004.9","31.1","28.6","26.5","25.3","83"
"Normal§","1005.2","31.1","28.6","26.6","25.0","81"
