"selection1_name","selection1_selection2","selection1_selection3","selection1_selection4","selection1_selection5","selection1_selection6","selection1_selection7"
"01","1011.2","32.2","28.9","26.9","24.6","78"
"02","1011.6","32.3","28.9","26.8","24.5","78"
"03","1010.6","33.3","29.5","27.3","24.5","75"
"04","1008.3","33.3","29.4","26.8","24.1","74"
"05","1006.1","33.3","29.6","27.6","24.4","74"
"06","1005.3","33.1","30.1","27.8","24.2","72"
"07","1003.4","33.3","30.7","28.2","24.9","72"
"08","998.5","36.3","32.4","30.0","24.0","62"
"09","998.5","34.7","31.0","26.9","24.8","71"
"10","1004.5","30.6","28.1","25.1","25.2","85"
"11","1007.3","32.8","29.2","26.3","25.4","81"
"12","1007.9","33.7","30.0","27.8","25.8","79"
"13","1007.9","29.6","28.0","26.4","25.6","87"
"14","1007.4","28.8","26.9","25.6","25.1","90"
"15","1008.5","28.6","27.0","24.9","25.0","89"
"16","1008.5","31.2","29.2","26.9","26.5","86"
"17","1008.2","32.4","29.9","28.3","26.6","83"
"18","1008.0","33.8","30.2","28.4","25.8","78"
"19","1007.7","32.8","30.1","28.1","25.7","77"
"20","1006.3","31.2","29.1","26.8","26.1","84"
"21","1002.2","33.4","30.0","26.9","25.5","77"
"22","1000.1","32.0","30.2","28.4","24.4","71"
"23","1000.0","32.9","30.6","28.0","24.2","69"
"24","1002.4","33.2","30.7","28.3","24.3","70"
"25","1005.5","34.4","30.6","27.9","23.2","65"
"26","1008.1","31.7","28.9","27.8","25.3","81"
"27","1008.1","32.4","29.0","27.0","25.0","79"
"28","1006.5","31.2","28.3","26.9","24.4","79"
"29","1006.2","29.6","27.8","26.5","24.8","84"
"30","1006.8","27.9","26.6","25.8","25.2","92"
"31","1007.4","29.0","27.4","25.8","25.0","87"
"Mean/Total","1006.1","32.1","29.3","27.2","25.0","78"
"Normal§","1005.2","31.1","28.6","26.6","25.0","81"
