"day_day","day_pressure","day_max","day_mean","day_min","day_meandew","day_meanhum","day_meancloud","day_rainfall"
"01","1009.9","35.1","30.2","27.8","25.1","75","74","0.0"
"02","1010.5","32.8","29.1","27.2","23.8","74","73","Trace"
"03","1008.4","32.6","29.3","27.3","24.1","74","78","Trace"
"04","1007.4","31.2","28.0","26.5","25.1","85","85","12.4"
"05","1006.8","29.5","27.1","25.9","25.7","92","88","28.2"
"06","1005.0","28.4","27.2","26.0","26.0","93","96","58.3"
"07","1004.3","28.6","27.3","26.0","25.9","92","92","47.4"
"08","1001.0","30.2","27.8","25.3","25.6","88","93","70.2"
"09","999.1","30.4","28.6","26.5","24.4","79","86","4.8"
"10","1000.4","33.4","30.0","27.4","23.6","69","69","0.0"
"11","1002.4","34.3","30.5","28.0","21.4","59","54","0.0"
"12","1002.4","30.1","27.5","25.2","25.2","88","89","39.6"
"13","998.2","28.5","26.6","25.6","25.5","94","94","109.3"
"14","998.3","28.6","26.8","25.4","23.5","82","89","1.3"
"15","1001.8","29.1","27.1","25.7","22.6","76","86","0.2"
"16","1003.6","31.5","28.4","26.9","22.3","70","66","0.0"
"17","1002.3","30.8","28.3","26.2","22.8","72","60","Trace"
"18","1002.0","31.9","28.9","27.4","24.5","77","82","Trace"
"19","1004.1","31.5","29.6","28.6","25.5","79","85","Trace"
"20","1005.5","32.4","30.2","28.8","26.0","78","87","Trace"
"21","1005.9","31.6","30.0","28.7","26.2","81","85","2.6"
"22","1006.2","30.4","27.8","25.4","25.3","87","87","32.9"
"23","1006.7","29.7","27.0","24.4","25.2","90","89","25.6"
"24","1008.2","32.5","28.7","26.4","25.6","84","84","18.1"
"25","1008.9","31.3","28.1","26.0","25.3","85","83","6.2"
"26","1010.6","33.4","29.2","25.9","25.2","80","61","1.7"
"27","1010.0","31.9","29.2","27.4","25.0","78","63","Trace"
"28","1007.0","32.6","29.7","27.7","24.7","75","38","0.0"
"29","1004.2","32.5","30.1","28.4","25.4","76","73","Trace"
"30","1004.1","32.8","30.4","28.9","25.6","76","80","Trace"
"Mean/Total","1004.8","31.3","28.6","26.8","24.7","80","79","458.8"
"Normal§","1006.1","30.2","27.9","26.2","24.6","82","77","456.1"
