"selection1_name","selection1_selection2","selection1_selection3","selection1_selection4","selection1_selection5","selection1_selection6","selection1_selection7"
"01","1007.0","33.0","29.9","27.9","24.2","72"
"02","1006.4","33.3","30.2","28.2","24.2","71"
"03","1006.1","35.3","30.8","28.4","24.8","71"
"04","1005.6","34.9","30.8","28.7","25.9","76"
"05","1006.4","31.8","29.3","26.5","25.6","81"
"06","1006.7","29.6","26.7","25.2","25.3","92"
"07","1003.5","32.4","28.3","25.6","25.9","87"
"08","998.2","32.2","28.5","25.8","24.6","80"
"09","995.3","28.9","26.7","25.4","25.5","93"
"10","994.1","26.6","25.7","24.7","24.1","91"
"11","993.5","26.9","26.0","25.2","24.4","91"
"12","998.0","27.3","26.8","26.4","25.3","91"
"13","1001.1","30.4","28.1","26.4","25.6","87"
"14","999.8","28.5","26.4","25.1","24.4","89"
"15","998.4","28.6","26.7","25.6","24.1","86"
"16","1000.7","26.8","25.5","24.7","24.0","92"
"17","1003.0","30.8","27.1","24.9","24.2","85"
"18","1001.0","32.8","28.6","25.2","23.8","76"
"19","1000.8","32.7","28.9","25.4","24.5","78"
"20","1003.9","29.8","28.5","27.8","25.4","83"
"21","1005.3","29.5","28.6","28.0","24.9","80"
"22","1006.4","28.6","27.8","25.8","25.0","85"
"23","1008.2","29.9","28.4","27.7","25.0","82"
"24","1010.3","31.4","28.0","25.1","25.4","86"
"25","1009.4","30.6","27.7","24.9","25.1","86"
"26","1008.8","30.9","27.6","25.1","24.3","83"
"27","1010.0","30.1","27.6","25.7","25.6","89"
"28","1010.3","31.3","27.9","25.8","25.5","87"
"29","1009.4","31.7","28.3","25.5","25.5","85"
"30","1008.1","30.8","28.5","26.9","24.6","80"
"31","1007.0","32.9","28.9","26.7","23.9","75"
"Mean/Total","1004.0","30.7","28.0","26.1","24.9","84"
