"selection1_name","selection1_selection2","selection1_selection3","selection1_selection4","selection1_selection5","selection1_selection6","selection1_selection7"
"01","1001.0","34.6","30.2","25.9","25.7","78"
"02","1001.4","32.8","29.7","26.1","25.6","79"
"03","1001.9","32.3","29.3","26.1","25.7","82"
"04","1002.4","32.7","30.2","27.2","26.4","81"
"05","1003.4","30.7","29.2","27.3","26.6","86"
"06","1003.6","31.1","28.1","26.1","25.7","87"
"07","1003.3","31.0","29.0","26.7","26.1","85"
"08","1003.0","32.3","29.9","28.1","25.4","78"
"09","1004.4","32.0","30.1","28.8","25.5","77"
"10","1004.7","32.4","29.8","27.5","25.5","78"
"11","1003.3","32.1","29.9","28.5","26.1","80"
"12","1002.1","31.9","28.9","25.2","26.0","85"
"13","1003.5","28.8","26.0","24.3","25.3","96"
"14","1008.0","30.7","28.1","25.4","25.3","85"
"15","1010.1","32.4","29.2","26.7","24.8","78"
"16","1008.6","31.9","29.3","27.9","25.1","79"
"17","1007.3","31.9","29.3","27.3","25.0","78"
"18","1008.2","32.4","29.6","27.7","24.9","76"
"19","1008.7","31.3","27.4","24.6","24.7","86"
"20","1010.4","26.5","24.7","22.9","23.9","95"
"21","1010.7","30.7","26.9","23.9","24.3","86"
"22","1010.6","31.9","28.5","26.6","24.9","81"
"23","1009.8","32.2","29.1","27.2","24.9","78"
"24","1009.7","33.2","29.1","26.9","24.4","76"
"25","1010.1","34.1","29.9","27.3","25.2","77"
"26","1010.6","34.2","30.1","27.9","25.4","76"
"27","1010.1","31.7","29.4","28.2","25.0","78"
"28","1012.1","32.1","29.5","28.1","25.8","81"
"29","1012.5","34.1","30.1","27.5","25.1","75"
"30","1011.1","34.0","30.1","27.8","25.0","75"
"31","1009.7","31.2","29.1","28.2","25.8","83"
"Mean/Total","1007.0","32.0","29.0","26.8","25.3","81"
"Normal§^","1005.2","31.1","28.6","26.6","25.0","81"
