"day_day","day_pressure","day_max","day_mean","day_min","day_meandew","day_meanhum","day_meancloud","day_rainfall"
"01","1003.2","30.6","29.1","27.8","26.0","83","88","Trace"
"02","1002.6","30.6","29.4","28.6","26.6","85","88","Trace"
"03","1002.7","32.5","30.0","28.5","26.6","83","84","0.0"
"04","1003.6","31.2","30.0","29.3","26.5","81","88","Trace"
"05","1006.2","33.5","30.3","28.8","26.3","80","67","Trace"
"06","1009.2","33.8","30.4","28.5","26.0","78","59","Trace"
"07","1010.0","34.0","30.0","27.2","26.0","80","50","4.3"
"08","1009.9","32.5","29.8","28.3","25.9","80","63","0.0"
"09","1009.2","31.9","29.5","28.1","25.8","81","81","1.1"
"10","1008.3","33.8","29.9","28.0","25.7","79","77","Trace"
"11","1007.0","34.1","29.8","28.1","25.6","78","47","Trace"
"12","1001.9","30.0","27.6","25.3","25.2","87","80","37.7"
"13","1006.2","28.9","26.4","24.3","25.1","93","91","219.4"
"14","1008.6","29.5","28.3","25.5","25.5","85","88","15.6"
"15","1007.6","31.1","29.2","26.8","25.7","81","88","14.5"
"16","1005.1","29.6","29.0","27.8","26.1","85","88","13.5"
"17","1003.7","28.4","25.5","24.4","24.8","96","93","138.0"
"18","1004.7","27.3","26.2","24.7","24.6","91","91","24.2"
"19","1005.3","28.3","26.2","25.3","24.8","92","86","32.6"
"20","1005.1","28.2","26.5","25.2","24.9","91","88","24.8"
"21","1005.3","29.2","27.4","25.2","25.5","90","89","95.9"
"22","1007.8","32.4","29.3","28.0","25.7","81","80","Trace"
"23","1007.7","31.6","28.9","27.5","25.8","84","80","10.5"
"24","1006.3","30.8","28.5","26.4","25.8","85","79","18.3"
"25","1006.9","31.5","29.2","26.8","25.1","79","81","4.2"
"26","1008.4","32.0","29.8","28.6","25.4","78","85","0.1"
"27","1009.5","31.5","29.5","28.6","25.5","79","83","1.3"
"28","1010.2","32.3","29.7","28.2","25.2","77","58","0.0"
"29","1009.7","32.8","29.6","27.9","25.4","78","62","0.0"
"30","1007.8","33.7","29.9","27.6","24.8","75","64","0.0"
"Mean/Total","1006.7","31.3","28.8","27.2","25.6","83","78","656.0"
"Normal§","1006.1","30.2","27.9","26.2","24.6","82","77","456.1"
