"selection1_name","selection1_selection2","selection1_selection3"
"7.2","230","31.7"
"10.0","230","27.4"
"5.2","220","28.8"
"5.5","220","20.8"
"0.7","020","9.8"
"2.2","020","11.2"
"5.7","020","9.5"
"3.1","190#","12.6#"
"6.5","***","***"
"4.5","220#","14.6#"
"0.0","230","20.0"
"0.0","220","29.8"
"1.3","220#","24.3#"
"2.4","220","30.0"
"1.6","210","29.3"
"1.6","230#","23.2#"
"7.2","220","12.8"
"2.3","200","19.8"
"12.0","130","12.4"
"9.1","170","12.1"
"10.0","200#","12.6"
"9.3","220","10.9"
"11.4","210","9.6"
"11.2","180","9.0"
"10.6","150","9.1"
"9.9","160","11.9"
"8.6","060","15.7"
"4.2","220","26.1"
"3.9","160","23.4"
"6.3","190","24.4"
"173.5","220#","18.5#"
"146.1","220","22.9"
