"selection1_name","selection1_selection2","selection1_selection3","selection1_selection4","selection1_selection5","selection1_selection6","selection1_selection7"
"01","1004.3","31.3","28.6","25.1","25.2","83"
"02","1006.2","30.2","26.9","24.3","25.0","90"
"03","1010.3","29.6","27.7","25.0","25.3","87"
"04","1011.2","31.8","29.1","26.9","24.7","77"
"05","1010.6","31.2","29.3","28.1","26.0","83"
"06","1008.0","32.2","29.7","28.0","25.6","79"
"07","1005.6","32.9","30.1","27.9","25.0","75"
"08","1006.3","33.4","30.3","28.2","25.3","75"
"09","1007.9","32.2","30.0","28.4","25.9","79"
"10","1008.3","31.1","29.0","26.9","26.1","85"
"11","1009.7","30.6","28.9","26.9","25.5","82"
"12","1008.9","31.8","28.8","24.3","25.3","82"
"13","1008.3","32.6","29.0","24.6","24.2","76"
"14","1008.5","31.8","29.5","27.8","25.3","78"
"15","1006.5","31.9","29.1","27.3","25.2","79"
"16","1004.1","30.4","28.5","26.8","24.2","78"
"17","1003.6","32.2","29.1","26.8","24.6","77"
"18","1003.9","32.5","29.8","28.2","24.2","72"
"19","1004.7","30.4","29.2","27.8","24.9","78"
"20","1005.9","33.2","29.9","27.9","24.6","73"
"21","1005.2","32.9","30.1","28.3","25.4","76"
"22","1003.4","32.9","30.2","27.8","25.3","76"
"23","1002.2","34.0","31.0","29.0","25.6","74"
"24","1001.8","33.4","30.9","29.3","26.1","76"
"25","1003.1","32.2","30.3","29.1","25.7","77"
"26","1002.9","32.6","30.4","28.9","25.4","75"
"27","1001.7","32.1","29.3","26.1","25.1","78"
"28","1000.2","28.5","27.3","26.5","25.0","88"
"29","1000.1","28.3","26.9","25.6","25.5","92"
"30","1001.7","28.5","26.5","25.4","25.6","95"
"31","1003.6","30.6","29.1","26.9","25.7","82"
"Mean/Total","1005.4","31.6","29.2","27.1","25.2","80"
