"selection1_name","selection1_selection2","selection1_selection3"
"5.2","070","17.8"
"10.0","080","33.6"
"8.3","080","29.5"
"2.1","080","37.6"
"0.3","100","21.2"
"0.0","100#","28.3#"
"0.0","***","***"
"0.7","***","***"
"4.5","***","***"
"7.5","280#","12.8#"
"11.7","360","14.6"
"0.0","080","17.8"
"0.0","070","17.3"
"0.6","360","14.7"
"3.0","080","18.4"
"7.3","070","41.0"
"7.7","070","37.1"
"6.2","230","27.8"
"2.5","230","32.7"
"7.5","220","31.1"
"3.1","220","27.1"
"1.1","180","19.1"
"0.2","190","19.3"
"7.1","130","25.8"
"2.1","160","25.9"
"9.4","150","16.9"
"5.2","210","8.7"
"11.2","230","19.5"
"11.0","240","30.3"
"9.7","230","32.3"
"145.2","230#","24.6#"
"146.1","220","22.9"
