"selection1_name","selection1_selection2","selection1_selection3","selection1_selection4","selection1_selection5","selection1_selection6","selection1_selection7"
"01","998.8","31.6","29.5","26.8","24.9","76"
"02","995.9","29.5","27.1","25.1","25.0","88"
"03","1006.3","27.8","26.8","26.1","25.5","93"
"04","1008.7","28.6","26.9","26.1","26.0","94"
"05","1008.3","32.3","29.3","27.0","26.0","83"
"06","1005.0","33.2","30.0","27.4","25.4","77"
"07","1002.8","33.4","30.4","28.2","26.4","80"
"08","1003.0","33.4","30.5","28.6","26.3","79"
"09","1001.8","32.7","29.2","26.1","26.1","83"
"10","1002.6","29.3","26.7","24.7","25.1","91"
"11","1003.2","29.9","27.2","25.2","24.8","87"
"12","1001.3","29.4","28.1","26.9","25.5","86"
"13","999.8","32.3","28.8","27.1","25.9","84"
"14","998.3","29.4","27.3","25.8","25.4","90"
"15","997.4","28.4","26.6","25.6","25.3","93"
"16","996.0","26.9","26.2","25.5","25.4","96"
"17","993.7","28.0","26.5","25.3","25.8","96"
"18","996.3","28.7","27.0","25.9","25.9","94"
"19","1003.0","31.3","28.2","26.5","26.4","90"
"20","1004.7","32.4","29.2","27.4","26.8","88"
"21","1003.2","31.2","27.4","24.5","25.0","87"
"22","1004.7","33.0","29.3","27.3","25.8","82"
"23","1004.8","33.4","29.7","27.2","24.3","74"
"24","1003.8","33.5","30.1","27.9","25.0","75"
"25","1004.2","34.4","30.4","28.1","25.8","77"
"26","1004.6","33.6","30.4","28.1","24.7","72"
"27","1006.4","33.2","29.7","27.0","25.6","79"
"28","1006.4","31.0","27.6","25.4","24.1","82"
"29","1007.2","28.0","26.7","26.2","22.0","76"
"30","1007.6","31.2","28.0","26.1","21.8","69"
"31","1006.3","31.5","28.6","26.6","24.2","78"
"Mean/Total","1002.8","31.0","28.4","26.5","25.2","84"
"Normal§","1005.2","31.1","28.6","26.6","25.0","81"
