"selection1_name","selection1_selection2","selection1_selection3","selection1_selection4","selection1_selection5","selection1_selection6","selection1_selection7"
"01","1001.4","33.2","30.5","28.3","26.7","80"
"02","1002.2","31.0","29.3","27.3","26.0","83"
"03","1001.8","29.8","27.8","25.3","25.6","88"
"04","1003.0","29.3","27.6","25.9","25.5","89"
"05","1005.5","34.0","30.0","27.1","26.1","80"
"06","1006.4","32.9","30.3","28.5","26.0","78"
"07","1006.3","33.0","30.5","27.3","25.9","77"
"08","1006.6","32.8","30.4","28.4","26.1","78"
"09","1006.1","31.0","29.6","26.3","25.9","81"
"10","1006.1","31.4","29.6","27.6","26.0","81"
"11","1007.6","31.6","30.0","28.9","26.1","79"
"12","1008.7","32.5","30.0","29.0","25.4","76"
"13","1009.1","32.4","29.8","28.6","25.1","76"
"14","1008.8","32.5","29.9","28.8","25.0","75"
"15","1008.4","32.9","29.8","28.1","24.6","74"
"16","1008.3","31.2","29.3","28.2","24.4","75"
"17","1009.1","33.0","29.9","27.9","24.5","73"
"18","1010.3","34.3","30.4","28.1","25.5","76"
"19","1009.8","34.0","30.6","28.4","24.5","71"
"20","1007.1","33.4","30.5","28.5","25.3","75"
"21","1003.2","34.5","31.3","28.6","25.5","72"
"22","999.7","36.6","30.9","28.0","26.1","76"
"23","996.9","29.5","26.9","25.4","24.8","89"
"24","1007.8","31.5","29.1","27.3","26.4","86"
"25","1008.3","32.7","29.2","27.8","25.6","81"
"26","1006.4","34.3","29.8","26.2","24.3","73"
"27","1004.3","26.9","25.6","24.0","24.6","95"
"28","1010.2","26.3","25.2","24.5","24.6","96"
"29","1010.1","31.4","28.2","24.6","24.0","79"
"30","1008.3","31.6","28.9","27.0","24.8","79"
"31","1007.3","32.8","28.9","26.2","24.3","77"
"Mean/Total","1006.3","32.1","29.3","27.3","25.3","80"
"Normal§","1005.2","31.1","28.6","26.6","25.0","81"
