ENVIRONMENTAL PROTECTION DEPARTMENT HONG KONG SPECIAL ADMINISTRATIVE REGION (CHINA) Hourly AQHI (June 2016),,,,,,,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,,,,,,,
1. The EPD has been reporting AQHI for individual stations on an hourly basis since 30.12.2013,,,,,,,,,,,,,,,,,,,
2. Empty cells mean that AQHI data are not available for that period.,,,,,,,,,,,,,,,,,,,
3. The AQHI information is based on raw data taken directly from EPD's Air Quality Monitoring Network.,,,,,,,,,,,,,,,,,,,
"4. In case of station or equipment suspension due to maintenance, the data collection for calculation of AQHI at station will be affected, the data of a most similar station will then be adopted. Such AQHI will be marked with an asterisk (*).",,,,,,,,,,,,,,,,,,,
"			",,,,,,,,,,,,,,,,,,,
Date,Hour,Central/Western,Eastern,Kwun Tong,Sham Shui Po,Kwai Chung,Tsuen Wan,Tseung Kwan O,Yuen Long,Tuen Mun,Tung Chung,Tai Po,Sha Tin,Tap Mun,Causeway Bay,Central,Mong Kok,,
6/1/2016,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2.0625,2.8125
,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3.125
,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1.9375,3.125
,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3.5
,5,2,2,2,2,2,2,2,2,2,2*,2,2,2,2,2,2,2,4.1875
,6,2,2,2,2,2,2,2,2,2,2*,2,2,2,2,2,2,2,3.5
,7,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1.9375,4
,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3.4375
,9,2,3,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2.1875,3.0625
,10,2,3,3,2,3,2,2,2,2,2,2,2,2,3,3,2,2.3125,3.375
,11,2,3,3,2,3,2,2,2,2,2,2,2,2,3,3,2,2.3125,2.8125
,12,3*,3,3,2,3,2,2,2,2*,2,2,2,2,3,3,3,2.428571429,3.0625
,13,3*,3,3,2,3,3,2,2,2*,2,2,2,3,4,3*,3,2.615384615,3.3125
,14,2*,3*,3,2,3,2,2,2,2,2,2,2,3,4,4*,3,2.461538462,3.3125
,15,3*,3*,3,2,3,3,2,3,2,2,2,2,3,4,3*,3,2.615384615,3.25
,16,3*,3*,3,2,3,3,2,3,3,2,2,2,3,4,3*,3,2.692307692,3.375
,17,2,3*,3,2,3,3,2,3,3,2,2,2,3,3,2,3,2.533333333,3.25
,18,2,3,3,2,3,2,2,2,3,2*,2,2,2,3,2,3,2.4,2.4375
