"selection1_name","selection1_selection2","selection1_selection3","selection1_selection4","selection1_selection5","selection1_selection6","selection1_selection7"
"01","1004.6","32.4","29.9","27.9","25.7","78"
"02","1003.8","32.9","30.0","26.6","25.6","78"
"03","1003.4","31.8","30.1","29.1","25.6","77"
"04","1004.7","32.5","29.8","27.3","25.7","79"
"05","1005.9","33.1","30.3","28.9","25.8","77"
"06","1005.4","33.8","30.2","28.8","25.5","76"
"07","1004.4","34.2","30.0","28.4","25.6","78"
"08","1004.2","33.9","30.3","27.1","25.4","75"
"09","1003.3","33.6","30.4","29.2","25.1","74"
"10","1001.7","29.5","27.2","26.0","25.9","92"
"11","998.7","28.2","27.0","25.8","25.9","93"
"12","996.5","28.1","26.9","25.8","25.7","93"
"13","996.3","32.6","28.9","27.3","25.8","84"
"14","996.2","29.9","27.6","26.4","25.9","90"
"15","999.2","30.9","28.2","26.4","25.6","86"
"16","1000.1","29.0","27.8","26.7","25.9","89"
"17","1000.2","28.3","27.2","25.5","25.5","91"
"18","1001.4","30.9","28.4","25.9","25.3","84"
"19","1002.5","30.4","28.6","26.4","25.6","84"
"20","1002.3","30.5","27.8","26.1","25.7","88"
"21","1000.2","30.2","28.3","26.7","25.6","86"
"22","1000.1","31.8","28.5","24.7","25.2","83"
"23","1001.7","30.9","27.7","24.6","25.2","86"
"24","1001.6","31.9","29.1","25.6","25.6","82"
"25","999.8","32.9","30.3","27.8","24.8","73"
"26","999.5","31.4","28.9","25.5","24.4","77"
"27","1001.3","29.9","27.0","25.2","24.5","87"
"28","1002.2","29.2","26.3","25.2","24.9","93"
"29","1002.5","29.3","27.4","26.1","25.5","89"
"30","1005.5","28.9","28.0","26.9","25.6","87"
"31","1009.3","29.0","27.9","27.0","25.6","88"
"Mean/Total","1001.9","31.0","28.6","26.7","25.5","84"
"Normal§","1005.2","31.1","28.6","26.6","25.0","81"
