"selection1_name","selection1_selection2","selection1_selection3","selection1_selection4","selection1_selection5","selection1_selection6","selection1_selection7"
"01","1004.4","31.5","28.8","25.8","24.5","79"
"02","1002.8","31.6","29.2","26.2","25.4","80"
"03","999.2","30.0","27.6","25.9","25.1","87"
"04","993.2","28.4","27.1","25.9","24.4","86"
"05","994.2","29.8","27.1","25.1","24.1","84"
"06","1000.6","29.0","27.8","24.2","24.9","84"
"07","1003.2","30.0","28.7","27.5","25.2","82"
"08","1003.8","30.6","28.9","27.9","25.2","81"
"09","1004.8","28.9","26.6","24.7","25.1","92"
"10","1007.0","28.2","26.2","24.4","25.1","94"
"11","1009.3","30.1","27.7","26.2","25.7","89"
"12","1009.7","30.9","28.3","26.6","25.4","84"
"13","1008.1","31.1","28.6","27.0","25.0","81"
"14","1005.9","31.1","28.7","27.3","24.9","80"
"15","1004.0","31.5","29.0","27.0","24.5","77"
"16","1002.5","30.4","29.0","28.2","24.4","76"
"17","1002.4","30.5","28.9","27.7","24.6","78"
"18","1002.4","28.5","27.2","25.6","24.7","87"
"19","1002.5","28.3","27.2","25.7","25.2","89"
"20","1007.2","29.4","27.5","26.1","25.8","91"
"21","1010.8","30.1","28.0","26.7","25.8","88"
"22","1011.0","31.5","29.0","26.9","25.0","80"
"23","1010.9","31.4","29.1","27.2","23.7","73"
"24","1010.4","32.1","29.1","27.2","24.2","76"
"25","1008.5","32.1","29.3","27.6","24.3","75"
"26","1007.1","31.6","29.3","27.8","25.3","79"
"27","1006.8","32.4","29.7","28.3","25.6","79"
"28","1007.8","33.0","29.5","26.9","24.4","75"
"29","1007.2","32.8","29.8","27.4","23.2","69"
"30","1005.7","32.9","29.6","27.2","25.0","77"
"31","1005.9","31.8","29.2","27.8","24.8","77"
"Mean/Total","1005.1","30.7","28.4","26.6","24.8","81"
