"selection1_name","selection1_selection2","selection1_selection3"
"0.4","190","22.8"
"4.2","190","22.9"
"10.6","220","19.8"
"11.1","230","19.9"
"5.0","230","24.4"
"5.9","210","10.8"
"5.1","200","20.3"
"7.5","200","20.9"
"6.2","220","22.6"
"3.8","210","22.0"
"5.5","220","22.6"
"6.7","210","15.2"
"4.9","210","18.0"
"4.9","200","18.4"
"6.6","200","10.6"
"9.9","220","11.1"
"11.5","230","22.5"
"11.7","230","20.9"
"10.5","230","14.5"
"10.0","130","13.6"
"3.4","110","26.0"
"1.5","130","25.6"
"0.3","160","24.6"
"0.4","170","17.4"
"0.9","200","24.4"
"6.8","220","24.4"
"8.8","200","21.9"
"10.8","220","20.2"
"10.3","220","24.1"
"7.6","220","27.2"
"192.8","220","20.3"
"146.1","220","22.9"
