"selection1_name","selection1_selection2","selection1_selection3","selection1_selection4","selection1_selection5","selection1_selection6","selection1_selection7"
"01","1006.0","32.4","28.9","26.5","24.7","78"
"02","1001.7","28.6","26.9","25.2","23.9","84"
"03","999.2","27.1","25.8","24.5","23.9","90"
"04","1005.0","30.0","27.4","25.6","25.4","89"
"05","1006.9","29.7","27.4","25.8","25.6","90"
"06","1006.6","28.6","26.8","24.9","25.1","91"
"07","1004.7","30.4","27.9","26.0","24.5","82"
"08","1003.7","31.1","28.5","26.1","24.7","80"
"09","1002.0","31.7","28.8","26.8","24.3","77"
"10","1000.7","28.8","26.7","24.6","25.0","91"
"11","1002.3","29.3","27.6","26.1","25.9","90"
"12","1005.0","31.1","28.8","27.2","25.6","84"
"13","1005.0","32.1","29.1","27.2","25.7","83"
"14","1004.1","31.6","28.9","27.5","25.6","83"
"15","1003.8","31.6","28.9","27.5","25.8","84"
"16","1004.3","32.1","29.1","27.6","25.9","83"
"17","1004.7","32.5","29.7","27.7","24.9","76"
"18","1004.1","32.5","30.1","28.4","25.8","78"
"19","1005.2","29.8","27.6","24.3","23.9","81"
"20","1004.0","30.8","28.3","27.2","25.2","84"
"21","1004.4","32.1","28.9","27.0","24.7","79"
"22","1004.9","32.0","28.9","27.0","24.6","78"
"23","1005.4","32.1","29.3","27.4","25.0","78"
"24","1005.5","29.5","27.6","26.1","26.3","92"
"25","1007.0","29.9","27.3","26.0","25.5","90"
"26","1007.8","30.9","28.3","26.0","25.0","83"
"27","1008.6","30.5","28.2","25.2","25.7","87"
"28","1008.8","29.9","28.3","27.5","26.1","88"
"29","1010.8","31.9","29.3","27.8","25.8","82"
"30","1010.9","31.5","29.2","27.7","24.7","77"
"31","1007.9","31.6","29.3","27.8","24.6","77"
"Mean/Total","1005.2","30.8","28.3","26.5","25.1","83"
