"selection1_name","selection1_selection2","selection1_selection3","selection1_selection4","selection1_selection5","selection1_selection6","selection1_selection7"
"01","1008.4","30.3","28.2","25.8","26.2","89"
"02","1006.1","31.8","29.3","27.2","24.8","78"
"03","1002.9","32.3","29.4","27.4","24.8","77"
"04","1000.9","32.6","29.7","28.1","25.7","79"
"05","999.4","32.5","29.8","28.1","25.4","78"
"06","997.9","33.5","30.3","28.4","25.9","78"
"07","1000.2","32.9","30.3","29.0","26.1","78"
"08","1003.7","32.3","29.9","28.6","26.5","82"
"09","1004.1","30.7","28.1","26.1","25.9","88"
"10","1002.9","29.3","27.7","26.4","25.9","90"
"11","1004.0","30.6","28.5","25.9","25.9","86"
"12","1000.7","32.6","29.4","27.1","24.5","75"
"13","999.4","29.5","26.7","23.9","24.9","90"
"14","1004.2","30.9","28.8","24.6","25.2","81"
"15","1005.3","29.1","27.6","26.1","25.4","88"
"16","1005.4","27.6","26.2","25.4","25.2","94"
"17","1005.7","26.6","25.6","24.8","24.8","96"
"18","1006.8","28.1","25.9","25.0","24.4","92"
"19","1006.3","26.9","25.5","24.5","24.1","92"
"20","1004.4","26.5","25.0","23.9","23.7","93"
"21","1006.0","27.8","27.2","25.9","25.5","90"
"22","1008.9","30.5","28.5","27.0","25.0","82"
"23","1008.8","31.6","28.8","27.1","25.0","80"
"24","1006.7","30.1","27.6","25.9","24.8","85"
"25","1007.1","29.6","27.5","26.3","23.8","80"
"26","1009.2","28.4","27.1","26.4","24.9","88"
"27","1009.4","28.0","27.3","26.4","25.2","89"
"28","1008.6","29.8","28.0","26.8","25.4","86"
"29","1008.0","30.2","28.0","26.4","25.9","89"
"30","1005.3","30.9","28.3","25.4","25.3","85"
"31","1002.4","32.3","29.4","26.8","24.6","76"
"Mean/Total","1004.8","30.2","28.0","26.3","25.2","85"
